candidate_name,party_name_expanded,secured_votes,percentage_of_votes,state_name,constituency_name,party_name
GARA SURYA RAO,Independent,3124,0.24,Andhra Pradesh,Anakapalle,IND
APPALA RAJU NAMMI,Bharatha Chaitanya Yuvajana Party,2619,0.2,Andhra Pradesh,Anakapalle,BCYP
NAGESWARA RAO PETLA,Independent,2184,0.16,Andhra Pradesh,Anakapalle,IND
ADARI SARAT CHANDRA,Jai Bharat National Party,1913,0.14,Andhra Pradesh,Anakapalle,JBNP
VIJAYA LAKSHMI KARRI,Pyramid Party of India,1591,0.12,Andhra Pradesh,Anakapalle,PPI
DR. THUMMAPALA HARI SHANKAR,Independent,1576,0.12,Andhra Pradesh,Anakapalle,IND
JUNNURI J SRINIVAS,Independent,1201,0.09,Andhra Pradesh,Anakapalle,IND
APPALANAIDU TUMMAGUNTA,Independent,1062,0.08,Andhra Pradesh,Anakapalle,IND
NOTA,None of the Above,26235,1.98,Andhra Pradesh,Anakapalle,NA
AMBICA G LAKSHMINARAYANA VALMIKI,Telugu Desam,768245,53.33,Andhra Pradesh,Ananthapur,TD
MALAGUNDLA SANKAR NARAYANA,Yuvajana Sramika Rythu Congress Party,579690,40.24,Andhra Pradesh,Ananthapur,YSRCP
MALLIKARJUNA VAJJALA,Indian National Congress,43217,3,Andhra Pradesh,Ananthapur,INC
G.V.RAMANA REDDY,Independent,6439,0.45,Andhra Pradesh,Ananthapur,IND
BANASI NARAYANAPPA,Bahujan Samaj Party,6396,0.44,Andhra Pradesh,Ananthapur,BSP
V.MURALI PRASAD REDDY,Independent,5778,0.4,Andhra Pradesh,Ananthapur,IND
DR.NALLANI RAMESH NAIDU,Andhra Rastra Praja Samithi,4989,0.35,Andhra Pradesh,Ananthapur,ARPS
M.SURENDRA,Pyramid Party of India,2935,0.2,Andhra Pradesh,Ananthapur,PPI
U.C.VENKATASUBBAIAH,Jaathia Chethi Vruthula Ikya Vedika Party,2540,0.18,Andhra Pradesh,Ananthapur,JCVIVP
P.CHOWDESWARI,Independent,1518,0.11,Andhra Pradesh,Ananthapur,IND
VADLA KESAVAIAH,Independent,1494,0.1,Andhra Pradesh,Ananthapur,IND
B.RAGHAVENDRA PRASAD,Independent,1318,0.09,Andhra Pradesh,Ananthapur,IND
KETHIREDDY RAGHUNATHAREDDY,Independent,1091,0.08,Andhra Pradesh,Ananthapur,IND
LOKANATH GOWD SURAGOWINI,Independent,1091,0.08,Andhra Pradesh,Ananthapur,IND
SREERANGARAJULA GOPINATH ROYAL,Independent,904,0.06,Andhra Pradesh,Ananthapur,IND
SHAIK.NIZAM,Samajwadi Party,753,0.05,Andhra Pradesh,Ananthapur,SP
RAMAVTH CHINNA RAMAPPA NAIK,Jaibhim Rao Bharat Party,745,0.05,Andhra Pradesh,Ananthapur,JRBP
KURUBA MALLIKARJUNA.S.,All India Kisan Janatha party,578,0.04,Andhra Pradesh,Ananthapur,AIKJP
B.NAGAMUTHYALU,Socialist Unity Centre Of India (COMMUNIST),570,0.04,Andhra Pradesh,Ananthapur,SUCI (C)
SRINIVASA RAJU.O,Bhartiya Panchyat Party,494,0.03,Andhra Pradesh,Ananthapur,BPP
DURGA PRASAD D BYATARAYANAJI,Challengers Party,444,0.03,Andhra Pradesh,Ananthapur,CP
NOTA,None of the Above,9199,0.64,Andhra Pradesh,Ananthapur,NA
GUMMA THANUJA RANI,Yuvajana Sramika Rythu Congress Party,477005,40.96,Andhra Pradesh,Araku,YSRCP
KOTHAPALLI GEETHA,Bharatiya Janata Party,426425,36.62,Andhra Pradesh,Araku,BJP
APPALANARASA PACHIPENTA,Communist Party of India (Marxist),123129,10.57,Andhra Pradesh,Araku,CPI (M)
AVASHYA LAHARI . VARAM,Bahujan Samaj Party,25750,2.21,Andhra Pradesh,Araku,BSP
SAMAREDDY BALAKRISHNA,Independent,9535,0.82,Andhra Pradesh,Araku,IND
NIMMAKA JAYARAJU,Independent,9462,0.81,Andhra Pradesh,Araku,IND
ATHIDHI,Independent,8136,0.7,Andhra Pradesh,Araku,IND
CHANTI BADNAINA,Jai Bharat National Party,7252,0.62,Andhra Pradesh,Araku,JBNP
MOTTADAM . RAJABABU,Bharat Adivasi Party,6766,0.58,Andhra Pradesh,Araku,BAP
RANJITH KUMAR PALAKA,Independent,6047,0.52,Andhra Pradesh,Araku,IND
RAMBABU JALLI,Telugu Rajadhikara Samiti Party,4959,0.43,Andhra Pradesh,Araku,TRSP
MANDALA GIRIDHARA RAO,Independent,4967,0.43,Andhra Pradesh,Araku,IND
VUYAKA NIREEKSHAN (V. CHENCHU),India Praja Bandhu Party,4542,0.39,Andhra Pradesh,Araku,IPBP
NOTA,None of the Above,50470,4.33,Andhra Pradesh,Araku,NA
KRISHNA PRASAD TENNETI,Telugu Desam,717493,55.16,Andhra Pradesh,Bapatla,TD
NANDIGAM SURESH BABU,Yuvajana Sramika Rythu Congress Party,509462,39.17,Andhra Pradesh,Bapatla,YSRCP
J.D. SEELAM,Indian National Congress,43259,3.33,Andhra Pradesh,Bapatla,INC
DOKKA JAGAN MOHANA RAO,Bahujan Samaj Party,6857,0.53,Andhra Pradesh,Bapatla,BSP
NALAMALA TIRUPATI RAO,Navataram Party,2964,0.23,Andhra Pradesh,Bapatla,NP
BUSSA. NAGARAJU,Independent,1318,0.1,Andhra Pradesh,Bapatla,IND
GADDE. VIJAYA LAKSHMI,Independent,1051,0.08,Andhra Pradesh,Bapatla,IND
KATTAPOGU. VIJAY KUMAR,Pyramid Party of India,897,0.07,Andhra Pradesh,Bapatla,PPI
KONDRU KIRAN KUMAR,Independent,797,0.06,Andhra Pradesh,Bapatla,IND
KATTA ANAND BABU,Independent,729,0.06,Andhra Pradesh,Bapatla,IND
MERUGUPALA SADASIVA RAO,India Praja Bandhu Party,673,0.05,Andhra Pradesh,Bapatla,IPBP
KATTA HEMANAND,Independent,549,0.04,Andhra Pradesh,Bapatla,IND
PARRE. KOTAIAH,Jaibhim Rao Bharat Party,412,0.03,Andhra Pradesh,Bapatla,JRBP
PALADUG VIJENDRA RAO (BAHUJAN),Liberation Congress Party,306,0.02,Andhra Pradesh,Bapatla,LCP
CHINNAM MURALIDHAR,All Peoples Party,255,0.02,Andhra Pradesh,Bapatla,APP
NOTA,None of the Above,13723,1.06,Andhra Pradesh,Bapatla,NA
DAGGUMALLA PRASADA RAO,Telugu Desam,778071,54.84,Andhra Pradesh,Chittoor(SC),TD
REDDEPPA.N .,Yuvajana Sramika Rythu Congress Party,557592,39.3,Andhra Pradesh,Chittoor(SC),YSRCP
MOTUKUR JAGAPATHI,Indian National Congress,30150,2.12,Andhra Pradesh,Chittoor(SC),INC
THOGURU VIJAYA KUMAR,Bahujan Samaj Party,13511,0.95,Andhra Pradesh,Chittoor(SC),BSP
YUGANDAR . KONDA,Independent,6973,0.49,Andhra Pradesh,Chittoor(SC),IND
K.MUNI KRISHNA,Independent,3956,0.28,Andhra Pradesh,Chittoor(SC),IND
P.JANAKI RAMA RAO ( BABU),National Maha Sabha Party,2833,0.2,Andhra Pradesh,Chittoor(SC),NMSP
PETA.MOHAN .,Independent,2366,0.17,Andhra Pradesh,Chittoor(SC),IND
C.SUDHAKAR,Independent,1935,0.14,Andhra Pradesh,Chittoor(SC),IND
N.CHANDRABABU,Independent,1885,0.13,Andhra Pradesh,Chittoor(SC),IND
MADASI SUDHARSHAN,Independent,1578,0.11,Andhra Pradesh,Chittoor(SC),IND
D.MAHESH,Independent,1119,0.08,Andhra Pradesh,Chittoor(SC),IND
P.MADHU,Independent,906,0.06,Andhra Pradesh,Chittoor(SC),IND
N.BHUPATHI,Independent,894,0.06,Andhra Pradesh,Chittoor(SC),IND
A. PURNA CHANDRA,Independent,857,0.06,Andhra Pradesh,Chittoor(SC),IND
PALLIPATTU.ABHINAV VISHNU,Samajwadi Party,676,0.05,Andhra Pradesh,Chittoor(SC),SP
N.GANGAIAH .,Independent,552,0.04,Andhra Pradesh,Chittoor(SC),IND
T NARESH,Independent,534,0.04,Andhra Pradesh,Chittoor(SC),IND
BANDAPALLI RAMESH,Independent,493,0.03,Andhra Pradesh,Chittoor(SC),IND
NOTA,None of the Above,11976,0.84,Andhra Pradesh,Chittoor(SC),NA
PUTTA MAHESH KUMAR,Telugu Desam,746351,54,Andhra Pradesh,Eluru,TD
KARUMURI SUNIL KUMAR,Yuvajana Sramika Rythu Congress Party,564494,40.84,Andhra Pradesh,Eluru,YSRCP
KAVURI LAVANYA,Indian National Congress,20826,1.51,Andhra Pradesh,Eluru,INC
AJAY BABU BODA,Navarang Congress Party,12210,0.88,Andhra Pradesh,Eluru,NCP
NITTA AKHILA DHARANI PAL,Bahujan Samaj Party,6732,0.49,Andhra Pradesh,Eluru,BSP
BOKINALA KOTESWARA RAO,Independent,2263,0.16,Andhra Pradesh,Eluru,IND
RUDRAPAKA RATNA RAO (R.R.R),Andhra Rastra Praja Samithi,1526,0.11,Andhra Pradesh,Eluru,ARPS
KANDAVALLI JEEVA DEVA DAYAKAR,Independent,1180,0.09,Andhra Pradesh,Eluru,IND
AGASTEEN KOMMINA,Independent,1004,0.07,Andhra Pradesh,Eluru,IND
DR. MENDEM SANTHOSH KUMAR (PEDDA BABULU),Liberation Congress Party,786,0.06,Andhra Pradesh,Eluru,LCP
RAJESWARA RAO KONDRU,Bharatheeya Jawan Kisan Party,732,0.05,Andhra Pradesh,Eluru,BJKP
GODUGUPATI VEERA RAGHAVULU,Pyramid Party of India,715,0.05,Andhra Pradesh,Eluru,PPI
BYRABOYINA MALYADRI,Bharatha Chaitanya Yuvajana Party,715,0.05,Andhra Pradesh,Eluru,BCYP
NOTA,None of the Above,22515,1.63,Andhra Pradesh,Eluru,NA
DR CHANDRA SEKHAR PEMMASANI,Telugu Desam,864948,60.68,Andhra Pradesh,Guntur,TD
KILARI VENKATA ROSAIAH,Yuvajana Sramika Rythu Congress Party,520253,36.5,Andhra Pradesh,Guntur,YSRCP
JANGALA AJAY KUMAR,Communist Party of India,8637,0.61,Andhra Pradesh,Guntur,CPI
SIVAREDDY. ENDREDDY,Navataram Party,5629,0.39,Andhra Pradesh,Guntur,NP
TENALI PRAKASH,Bahujan Samaj Party,4272,0.3,Andhra Pradesh,Guntur,BSP
SIKHAKOLLI HEMA GOWRI SHANKAR,Jatiya Jana Sena Party,1964,0.14,Andhra Pradesh,Guntur,JJSP
SAMUDRALA CHINNA KOTAIAH,Jaibhim Rao Bharat Party,1753,0.12,Andhra Pradesh,Guntur,JRBP
UMAR BHASHA SHAIK,Jana Sahayaka Sakthi,1275,0.09,Andhra Pradesh,Guntur,JSS
SYED. SAIDA,Navarang Congress Party,1222,0.09,Andhra Pradesh,Guntur,NCP
AMBATI CHALAMAIAH,Pyramid Party of India,1031,0.07,Andhra Pradesh,Guntur,PPI
PILLI BABU RAO,Independent,692,0.05,Andhra Pradesh,Guntur,IND
HARI VENKATA SATISH KURNALA,Jai Bharat National Party,542,0.04,Andhra Pradesh,Guntur,JBNP
VISHNU REDDY LANKIREDDY,Bengaluru Nava Nirmana Party,461,0.03,Andhra Pradesh,Guntur,BNNP
EMANI. CHANDRASEKHAR RAO,Navodayam Party,414,0.03,Andhra Pradesh,Guntur,NP
SHAIK. KHAJAVALI,Independent,391,0.03,Andhra Pradesh,Guntur,IND
CHALLAPALLI RATAN RAJU,Viduthalai Chiruthaigal Katchi,378,0.03,Andhra Pradesh,Guntur,VCK
KANNEBOYINA VAMSI KRISHNA YADAV,Independent,375,0.03,Andhra Pradesh,Guntur,IND
MOHAMMAD KHAJA MOINUDDIN CHISTI PASHA,Andhra Pradesh Rashtra Samithi,358,0.03,Andhra Pradesh,Guntur,APRS
GAYATRI AUDHIPUDI,Independent,357,0.03,Andhra Pradesh,Guntur,IND
ASHOK ANAND GALI,Independent,335,0.02,Andhra Pradesh,Guntur,IND
SHAIK ASLAM AKTHER,Independent,335,0.02,Andhra Pradesh,Guntur,IND
PATHAN KHAJA (BASHA),Telugu Rajadhikara Samiti Party,332,0.02,Andhra Pradesh,Guntur,TRSP
AMARTHALURI VENKATESWARA RAO.,Marxist Communist Party of India (United),312,0.02,Andhra Pradesh,Guntur,MCPI (U)
DR. RAYAPUDI RAJESH VIJAY KUMAR,Indian Labour Party (Ambedkar Phule),310,0.02,Andhra Pradesh,Guntur,ILP (AP)
BURAGA RATNAM,Loktantrik Janta Dal,316,0.02,Andhra Pradesh,Guntur,LJD
VANKAYALAPATI VENKATA SIVA RAMANJANEYULU,Independent,268,0.02,Andhra Pradesh,Guntur,IND
SIVA PARVATHI,Independent,266,0.02,Andhra Pradesh,Guntur,IND
BOMMASANI MUTYALA RAO,All Peoples Party,207,0.01,Andhra Pradesh,Guntur,APP
SRIKRISHNA AKKISETTI,Independent,179,0.01,Andhra Pradesh,Guntur,IND
MADAVARAPU NAGA RAJU,Independent,172,0.01,Andhra Pradesh,Guntur,IND
NOTA,None of the Above,7387,0.52,Andhra Pradesh,Guntur,NA
B K PARTHASARATHI,Telugu Desam,725534,51.23,Andhra Pradesh,Hindupur,TD
J SHANTHA,Yuvajana Sramika Rythu Congress Party,593107,41.88,Andhra Pradesh,Hindupur,YSRCP
B A SAMAD SHAHEEN,Indian National Congress,55059,3.89,Andhra Pradesh,Hindupur,INC
BHAGYA R S,Bahujan Samaj Party,8015,0.57,Andhra Pradesh,Hindupur,BSP
PRATHAP REDDY GORLA,Independent,5444,0.38,Andhra Pradesh,Hindupur,IND
H D HANUMANTHE GOWD,Independent,2278,0.16,Andhra Pradesh,Hindupur,IND
ANJINAPPA GARI SREENIVASULU,Revolutionary Socialist Party,2051,0.14,Andhra Pradesh,Hindupur,RSP
S N SURESH,Independent,1631,0.12,Andhra Pradesh,Hindupur,IND
DASAGANIPALLI KULLAYAPPA,Independent,1328,0.09,Andhra Pradesh,Hindupur,IND
ASHOK,Socialist Unity Centre Of India (COMMUNIST),1292,0.09,Andhra Pradesh,Hindupur,SUCI (C)
T SUDHAKAR REDDY,Independent,1237,0.09,Andhra Pradesh,Hindupur,IND
S RAGHUNATHA REDDY,Independent,710,0.05,Andhra Pradesh,Hindupur,IND
BUDILI DHANUNJAYA,National Nava Kranthi Party,682,0.05,Andhra Pradesh,Hindupur,NNKP
NOTA,None of the Above,17971,1.27,Andhra Pradesh,Hindupur,NA
Y. S. AVINASH REDDY,Yuvajana Sramika Rythu Congress Party,605143,45.78,Andhra Pradesh,Kadapa,YSRCP
CHADIPIRALLA BHUPESH SUBBARAMI REDDY,Telugu Desam,542448,41.03,Andhra Pradesh,Kadapa,TD
Y.S. SHARMILA REDDY,Indian National Congress,141039,10.67,Andhra Pradesh,Kadapa,INC
PANDITI. GURAPPA.,Bahujan Samaj Party,3810,0.29,Andhra Pradesh,Kadapa,BSP
VENU GOPAL RACHINENI,Rashtriya Praja Congress (Secular),3570,0.27,Andhra Pradesh,Kadapa,RPC (S)
CHINNAPUREDDY GOPALA KRISHNA REDDY,Independent,2430,0.18,Andhra Pradesh,Kadapa,IND
KUNCHAM. VENKATA SUBBA REDDY,Rayalaseema Rashtra Samithi,2333,0.18,Andhra Pradesh,Kadapa,RRS
L. KHAJA HUSSAIN,Independent,1088,0.08,Andhra Pradesh,Kadapa,IND
ANKIREDDY. SURESH KUMAR REDDY.,All India Forward Bloc,755,0.06,Andhra Pradesh,Kadapa,AIFB
KAKARLA SHANMUKHA REDDY,Independent,647,0.05,Andhra Pradesh,Kadapa,IND
PALLE RAMESH,Jaibhim Rao Bharat Party,624,0.05,Andhra Pradesh,Kadapa,JRBP
CHAN BASHA. S,Anna YSR Congress Party,439,0.03,Andhra Pradesh,Kadapa,AYCP
J. V. RAMANA,Jaathia Chethi Vruthula Ikya Vedika Party,434,0.03,Andhra Pradesh,Kadapa,JCVIVP
MALIKIREDDY. HANUMANTHA REDDY,Jana Sahayaka Sakthi,369,0.03,Andhra Pradesh,Kadapa,JSS
NOTA,None of the Above,16846,1.27,Andhra Pradesh,Kadapa,NA
TANGELLA UDAY SRINIVAS (TEA TIME UDAY),Janasena Party,729699,54.87,Andhra Pradesh,Kakinada,JP
CHALAMALASETTY SUNIL,Yuvajana Sramika Rythu Congress Party,500208,37.62,Andhra Pradesh,Kakinada,YSRCP
MALLIPUDI MANGAPATI PALLAM RAJU,Indian National Congress,21109,1.59,Andhra Pradesh,Kakinada,INC
UDAY,Navarang Congress Party,15703,1.18,Andhra Pradesh,Kakinada,NCP
KANDREGULA NARASIMHAM,Bahujan Samaj Party,11979,0.9,Andhra Pradesh,Kakinada,BSP
DR ANUSHA YADAV,Bharatha Chaitanya Yuvajana Party,9854,0.74,Andhra Pradesh,Kakinada,BCYP
TANGELLA SRINIVASU,Jatiya Jana Sena Party,6559,0.49,Andhra Pradesh,Kakinada,JJSP
YEDIDA VARA PRASAD KUMAR,Republican Party of India (A),3927,0.3,Andhra Pradesh,Kakinada,RPI ()
BUGATHA BANGARRAO,Communist Party of India (Marxist-Leninist) (Liberation),2823,0.21,Andhra Pradesh,Kakinada,CPI (M) (L)
SUDHA VEERA GANESH,Independent,2647,0.2,Andhra Pradesh,Kakinada,IND
BHAVANI SANKAR PRASAD MERLA,Independent,1969,0.15,Andhra Pradesh,Kakinada,IND
YENUGUPALLI KRISHNA,Jaibhim Rao Bharat Party,1780,0.13,Andhra Pradesh,Kakinada,JRBP
BODDETI APPARAO,Independent,1687,0.13,Andhra Pradesh,Kakinada,IND
NEELAKANTAM DONAM,Independent,1412,0.11,Andhra Pradesh,Kakinada,IND
PASUPULETI S.V.S.BHUSHANAM,Independent,1227,0.09,Andhra Pradesh,Kakinada,IND
NOTA,None of the Above,17220,1.29,Andhra Pradesh,Kakinada,NA
BASTIPATI NAGARAJU PANCHALINGALA,Telugu Desam,658914,49.51,Andhra Pradesh,Kurnoolu,TD
B Y RAMAIAH,Yuvajana Sramika Rythu Congress Party,547616,41.15,Andhra Pradesh,Kurnoolu,YSRCP
P.G.RAMPULLAIAH YADAV LUCKY-2,Indian National Congress,70373,5.29,Andhra Pradesh,Kurnoolu,INC
MANCHALA LAKSHMI NARAYANA,Bahujan Samaj Party,8589,0.65,Andhra Pradesh,Kurnoolu,BSP
BOYA SURESH,Independent,5900,0.44,Andhra Pradesh,Kurnoolu,IND
T. BEECHUPALLI,Independent,5127,0.39,Andhra Pradesh,Kurnoolu,IND
VIJAYA BHASKAR .REDDYPOGU,Independent,3508,0.26,Andhra Pradesh,Kurnoolu,IND
PAGADALA KODANDA,Independent,3076,0.23,Andhra Pradesh,Kurnoolu,IND
DEVARAPOGU MADDILETY,Independent,2582,0.19,Andhra Pradesh,Kurnoolu,IND
PRAKASH REDDY RALAMPADU,Independent,2225,0.17,Andhra Pradesh,Kurnoolu,IND
JAHANGIR AHMED,Social Democratic Party Of India,2074,0.16,Andhra Pradesh,Kurnoolu,SDPI
DR. REDDYPOGU PRAVEEN KUMAR,Independent,1856,0.14,Andhra Pradesh,Kurnoolu,IND
ABDUL SATTAR A.S.R,Anna YSR Congress Party,1601,0.12,Andhra Pradesh,Kurnoolu,AYCP
VALMIKI ARJUNA,Bharatha Chaitanya Yuvajana Party,1390,0.1,Andhra Pradesh,Kurnoolu,BCYP
URUKUNDU VADDE,Independent,1295,0.1,Andhra Pradesh,Kurnoolu,IND
MALLEPOGU NAGANNA,Socialist Unity Centre Of India (COMMUNIST),1164,0.09,Andhra Pradesh,Kurnoolu,SUCI (C)
SUNKARA SREEDHAR,Jai Bharat National Party,1163,0.09,Andhra Pradesh,Kurnoolu,JBNP
TARIGOPULA RAJABABU,All Peoples Party,1033,0.08,Andhra Pradesh,Kurnoolu,APP
AMRUTH KUMAR SALKAPURAM,Liberation Congress Party,783,0.06,Andhra Pradesh,Kurnoolu,LCP
NOTA,None of the Above,10511,0.79,Andhra Pradesh,Kurnoolu,NA
BALASHOWRY VALLABHANENI,Janasena Party,724439,55.22,Andhra Pradesh,Machilipatnam,JP
SIMHADRI CHANDRA SEKHAR RAO,Yuvajana Sramika Rythu Congress Party,501260,38.21,Andhra Pradesh,Machilipatnam,YSRCP
GOLLU KRISHNA,Indian National Congress,31825,2.43,Andhra Pradesh,Machilipatnam,INC
BAAL SHOURI CHODABATHINA,Jatiya Jana Sena Party,11141,0.85,Andhra Pradesh,Machilipatnam,JJSP
DEVAMANI DEVARAPALLI,Bahujan Samaj Party,10028,0.76,Andhra Pradesh,Machilipatnam,BSP
KOMMARAJU SIVA NARASIMHA RAO,All India Forward Bloc,5254,0.4,Andhra Pradesh,Machilipatnam,AIFB
VALLABHANENI NAGA PAVAN KUMAR,Independent,5220,0.4,Andhra Pradesh,Machilipatnam,IND
MARADANI K R SWAMY,Jai Maha Bharath Party,2214,0.17,Andhra Pradesh,Machilipatnam,JMBP
GANDHI DHANEKULA,Independent,1991,0.15,Andhra Pradesh,Machilipatnam,IND
PAMULA BALA SOWRYAMMA,Independent,1582,0.12,Andhra Pradesh,Machilipatnam,IND
ANUSHA YERUVA,Independent,1235,0.09,Andhra Pradesh,Machilipatnam,IND
GUDAVALLI VENKATA KEDARESWARA RAO,Independent,1111,0.08,Andhra Pradesh,Machilipatnam,IND
JOGI VEERANJANEYULU,Independent,1022,0.08,Andhra Pradesh,Machilipatnam,IND
DAMODARA RAO GUDAVALLI,Independent,930,0.07,Andhra Pradesh,Machilipatnam,IND
APPARAO ENNETI,Independent,626,0.05,Andhra Pradesh,Machilipatnam,IND
NOTA,None of the Above,12126,0.92,Andhra Pradesh,Machilipatnam,NA
DR BYREDDY SHABARI,Telugu Desam,701131,49.92,Andhra Pradesh,Nandyal,TD
POCHA BRAHMANANDA REDDY,Yuvajana Sramika Rythu Congress Party,589156,41.95,Andhra Pradesh,Nandyal,YSRCP
J LAKSHMI NARASIMHA YADAV,Indian National Congress,56204,4,Andhra Pradesh,Nandyal,INC
P GURUVAIAH,Independent,8191,0.58,Andhra Pradesh,Nandyal,IND
A CHINNA MOULALI,Bahujan Samaj Party,7831,0.56,Andhra Pradesh,Nandyal,BSP
HAFIZ ATAULLAH KHAN,Social Democratic Party Of India,6932,0.49,Andhra Pradesh,Nandyal,SDPI
KOMMUSANI PEDDA KAMBAGIRI SWAMY,Independent,4633,0.33,Andhra Pradesh,Nandyal,IND
GAGGERA VENKATA RAMANAIAH,Independent,3031,0.22,Andhra Pradesh,Nandyal,IND
DUMAVATH SWAMY NAIK,Independent,2358,0.17,Andhra Pradesh,Nandyal,IND
KUNUKUNTLA RAMUDU,Independent,1413,0.1,Andhra Pradesh,Nandyal,IND
E ANIL KUMAR,Independent,1334,0.09,Andhra Pradesh,Nandyal,IND
C SURENDRA NATHA REDDY,Independent,1268,0.09,Andhra Pradesh,Nandyal,IND
BRAHMANANDA REDDY K,Independent,1272,0.09,Andhra Pradesh,Nandyal,IND
UPPU SUBBARAYUDU,Jaathia Chethi Vruthula Ikya Vedika Party,791,0.06,Andhra Pradesh,Nandyal,JCVIVP
NAGESWARA RAO,Independent,680,0.05,Andhra Pradesh,Nandyal,IND
VIJAYA BHASKAR REDDYPOGU,Independent,641,0.05,Andhra Pradesh,Nandyal,IND
YELAMPALLE GOVARDHAN REDDY,All India Forward Bloc,642,0.05,Andhra Pradesh,Nandyal,AIFB
BHUMA VEERA BHADRA REDDY,Navarang Congress Party,646,0.05,Andhra Pradesh,Nandyal,NCP
PANDU RANGA YADAV SIDDAPU,Samajwadi Party,605,0.04,Andhra Pradesh,Nandyal,SP
CHANDINI REDDY VAKATI,Liberation Congress Party,556,0.04,Andhra Pradesh,Nandyal,LCP
B C RAMANADHA AREDDY,Independent,472,0.03,Andhra Pradesh,Nandyal,IND
GAJULA SHALIMIYA,Anna YSR Congress Party,486,0.03,Andhra Pradesh,Nandyal,AYCP
