state_name,assembly_constituency_number,assembly_constituency_name,candidate_name,candidate_sex,candidate_age,candidate_category,party_name,secured_votes,percentage_of_votes,total_voters,total_votes_in_state,PERCENT_VOTES_POLLED,candidate_position
Maharashtra,4,Nawapur ,NOTA,NOTA,0,NOTA,NOTA,4950,2.274157758,287977,217663,75.58346674,6
Maharashtra,4,Nawapur ,Dr. Rakesh Rajya Gavit,MALE,41,ST,IND,1286,0.590821591,287977,217663,75.58346674,7
Maharashtra,4,Nawapur ,Adv. Prakash Mohan Gangurde,MALE,31,ST,IND,1154,0.530177384,287977,217663,75.58346674,8
Maharashtra,4,Nawapur ,Arjunsing Diwansing Vasave,MALE,54,ST,IND,1039,0.477343416,287977,217663,75.58346674,9
Maharashtra,4,Nawapur ,Ramu Maharya Valvi,MALE,49,ST,PPID,738,0.339056248,287977,217663,75.58346674,10
Maharashtra,4,Nawapur ,Dr. Sunil Kuthya Gavit,MALE,41,ST,AAAP,477,0.219146111,287977,217663,75.58346674,11
Maharashtra,5,Sakri ,Manjula Tulshiram Gavit,FEMALE,56,ST,IND,76166,36.60102452,342992,208098,60.67138592,1
Maharashtra,5,Sakri ,Mohan Gokul Suryawanshi,MALE,55,ST,BJP,68901,33.10988092,342992,208098,60.67138592,2
Maharashtra,5,Sakri ,Dhanaji Sitaram Ahire,MALE,66,ST,INC,25302,12.15869446,342992,208098,60.67138592,3
Maharashtra,5,Sakri ,Yashwant Devman Malache,MALE,49,ST,VBA,14032,6.742976867,342992,208098,60.67138592,4
Maharashtra,5,Sakri ,Rajkumar Pandit Sonawane,MALE,50,ST,IND,9058,4.352756874,342992,208098,60.67138592,5
Maharashtra,5,Sakri ,NOTA,NOTA,0,NOTA,NOTA,4147,1.992811079,342992,208098,60.67138592,6
Maharashtra,5,Sakri ,Nandu Rajaram Malache,MALE,43,ST,BTP,3743,1.79867178,342992,208098,60.67138592,7
Maharashtra,5,Sakri ,Hiraman Deva Sabale,MALE,60,ST,IND,2872,1.380118982,342992,208098,60.67138592,8
Maharashtra,5,Sakri ,Rangnath Rama Bhavare,MALE,56,ST,BSP,2276,1.093715461,342992,208098,60.67138592,9
Maharashtra,5,Sakri ,Chaure Sandip Shantaraam,MALE,34,ST,IND,1601,0.769349057,342992,208098,60.67138592,10
Maharashtra,6,Dhule Rural,Kunalbaba Rohidas Patil,MALE,45,GENERAL,INC,125575,51.18261075,372989,245347,65.77861546,1
Maharashtra,6,Dhule Rural,Maisaheb Dnyanjyoti Manohar Patil,FEMALE,49,GENERAL,BJP,111011,45.24652839,372989,245347,65.77861546,2
Maharashtra,6,Dhule Rural,Rajdip Bhatu Agale,MALE,44,SC,VBA,4216,1.718382536,372989,245347,65.77861546,3
Maharashtra,6,Dhule Rural,NOTA,NOTA,0,NOTA,NOTA,2248,0.916253307,372989,245347,65.77861546,4
Maharashtra,6,Dhule Rural,Baisane Nandu Sukdeo,MALE,36,SC,BSP,1471,0.599558992,372989,245347,65.77861546,5
Maharashtra,6,Dhule Rural,Dr. Bhupesh Prakash Patil,MALE,36,GENERAL,IND,826,0.336666028,372989,245347,65.77861546,6
Maharashtra,7,Dhule City,Shah Faruk Anwar,MALE,45,GENERAL,AIMIM,46679,28.93171028,322026,161342,50.10216566,1
Maharashtra,7,Dhule City,Rajwardhan Raghujirao Kadambande (Rajubaba),MALE,59,GENERAL,IND,43372,26.882027,322026,161342,50.10216566,2
Maharashtra,7,Dhule City,Anil Anna Gote,MALE,71,GENERAL,LKSGM,42432,26.29941367,322026,161342,50.10216566,3
Maharashtra,7,Dhule City,Hilal Lala Mali,MALE,48,GENERAL,SHS,22427,13.90028635,322026,161342,50.10216566,4
Maharashtra,7,Dhule City,NOTA,NOTA,0,NOTA,NOTA,1371,0.849747741,322026,161342,50.10216566,5
Maharashtra,7,Dhule City,Ravindra Suresh Damodar,MALE,30,SC,BSP,1264,0.783428989,322026,161342,50.10216566,6
Maharashtra,7,Dhule City,Mayur Devidas Ahirrao,MALE,32,GENERAL,IND,1034,0.640874664,322026,161342,50.10216566,7
Maharashtra,7,Dhule City,Gorakh Babanlal Sharma,MALE,44,GENERAL,IND,897,0.55596187,322026,161342,50.10216566,8
Maharashtra,7,Dhule City,Mansuri Asif Inayat,MALE,37,GENERAL,SP,800,0.495841133,322026,161342,50.10216566,9
Maharashtra,7,Dhule City,Kulkarni Prachi Girish,FEMALE,48,GENERAL,MNS,700,0.433860991,322026,161342,50.10216566,10
Maharashtra,7,Dhule City,Hemlata Sunil Sonawane,FEMALE,40,ST,IND,366,0.226847318,322026,161342,50.10216566,11
Maharashtra,8,Shindkheda,Jaykumar Jitendrasinh Rawal,MALE,45,GENERAL,BJP,113809,56.74334889,327082,200568,61.32040283,1
Maharashtra,8,Shindkheda,Bedse Sandeep Tryambakrao,MALE,49,GENERAL,NCP,70894,35.34661561,327082,200568,61.32040283,2
Maharashtra,8,Shindkheda,Shanabhau Rambhau Sonawane,MALE,48,GENERAL,IND,9358,4.665749272,327082,200568,61.32040283,3
Maharashtra,8,Shindkheda,Namdeo Rohidas Yelave,MALE,48,ST,VBA,2025,1.009632643,327082,200568,61.32040283,4
Maharashtra,8,Shindkheda,NOTA,NOTA,0,NOTA,NOTA,1816,0.905428583,327082,200568,61.32040283,5
Maharashtra,8,Shindkheda,Narendra Dharma Patil (Salunkhe),MALE,38,GENERAL,MNS,1185,0.590822065,327082,200568,61.32040283,6
Maharashtra,8,Shindkheda,Bhausaheb Namdeo Pawar,MALE,34,SC,BSP,1005,0.501076941,327082,200568,61.32040283,7
Maharashtra,8,Shindkheda,Salim Kasam Pinjari,MALE,60,GENERAL,IND,476,0.237325994,327082,200568,61.32040283,8
Maharashtra,9,Shirpur ,Kashiram Vechan Pawara,MALE,53,ST,BJP,120403,56.76923222,320802,212092,66.11305416,1
Maharashtra,9,Shirpur ,Dr. Jitendra Yuvraj Thakur,MALE,44,ST,IND,71229,33.58401071,320802,212092,66.11305416,2
Maharashtra,9,Shirpur ,Ranjitsingh Bharatsingh Pawara,MALE,57,ST,INC,7754,3.655960621,320802,212092,66.11305416,3
Maharashtra,9,Shirpur ,NOTA,NOTA,0,NOTA,NOTA,3828,1.804877129,320802,212092,66.11305416,4
Maharashtra,9,Shirpur ,Prof.Motilal Damu Sonawane,MALE,54,ST,VBA,3534,1.666258039,320802,212092,66.11305416,5
Maharashtra,9,Shirpur ,Er. Vikas Kalidas Saindane,MALE,30,ST,CPI,2127,1.00286668,320802,212092,66.11305416,6
Maharashtra,9,Shirpur ,Kishor Daulat Bhil,MALE,37,ST,MEP,1860,0.876977915,320802,212092,66.11305416,7
Maharashtra,9,Shirpur ,Sukram Onkar Pawara,MALE,35,ST,BSP,1357,0.639816683,320802,212092,66.11305416,8
Maharashtra,10,Chopda ,LATABAI CHANDRAKANT SONAWANE,FEMALE,48,ST,SHS,78137,39.18252114,308441,199418,64.65353179,1
Maharashtra,10,Chopda ,JAGDISHCHANDRA RAMESH VALVI,MALE,57,ST,NCP,57608,28.88806427,308441,199418,64.65353179,2
Maharashtra,10,Chopda ,PRABHAKARAPPA GOTU SONAWANE,MALE,66,ST,IND,32459,16.27686568,308441,199418,64.65353179,3
Maharashtra,10,Chopda ,DR. BARELA  CHANDRAKANT JAMSING,MALE,36,ST,IND,17085,8.567431225,308441,199418,64.65353179,4
Maharashtra,10,Chopda ,ADV. YAKUB  SAHEBU TADAVI,MALE,50,ST,BSP,5369,2.692334694,308441,199418,64.65353179,5
Maharashtra,10,Chopda ,MADHURI KISHOR PATIL,FEMALE,43,ST,IND,4288,2.150257249,308441,199418,64.65353179,6
Maharashtra,10,Chopda ,NOTA,NOTA,0,NOTA,NOTA,2175,1.090673861,308441,199418,64.65353179,7
Maharashtra,10,Chopda ,ISHWARLAL SURESH KOLI (ALIAS NILESH SURESH KOLI),MALE,28,ST,IND,1529,0.766731188,308441,199418,64.65353179,8
Maharashtra,10,Chopda ,DAGDU FATTU TADAVI,MALE,63,ST,IND,768,0.385120701,308441,199418,64.65353179,9
Maharashtra,11,Raver,CHAUDHARI SHIRISH MADHUKARRAO,MALE,60,GENERAL,INC,77941,38.3198293,293382,203396,69.3280433,1
Maharashtra,11,Raver,HARIBHAU MADHAV JAWALE,MALE,66,GENERAL,BJP,62332,30.64563708,293382,203396,69.3280433,2
Maharashtra,11,Raver,ANIL CHABILDAS CHAWADARI,MALE,50,GENERAL,IND,44841,22.04615627,293382,203396,69.3280433,3
Maharashtra,11,Raver,HAJI SAYAD MUSHTAK SAYAD KAMARUDDIN,MALE,38,GENERAL,VBA,6707,3.297508309,293382,203396,69.3280433,4
Maharashtra,11,Raver,VIVEK DEVIDAS THAKARE (BAPU DHOBI),MALE,43,GENERAL,AIMIM,3545,1.742905465,293382,203396,69.3280433,5
Maharashtra,11,Raver,GAYASODDIN SADARODDIN KAZI,MALE,65,GENERAL,IND,2693,1.324018171,293382,203396,69.3280433,6
Maharashtra,11,Raver,NOTA,NOTA,0,NOTA,NOTA,1946,0.956754312,293382,203396,69.3280433,7
Maharashtra,11,Raver,D. D. WANI (PHOTOGRAPHER),MALE,54,GENERAL,IND,1333,0.655371787,293382,203396,69.3280433,8
Maharashtra,11,Raver,SANTOSH MADHUKAR DHIVARE,MALE,30,SC,BSP,1104,0.542783536,293382,203396,69.3280433,9
Maharashtra,11,Raver,RAJARAM MADHAV SONAR,MALE,74,GENERAL,IND,493,0.242384314,293382,203396,69.3280433,10
Maharashtra,11,Raver,SANJAY HAMID TADVI,MALE,40,ST,IND,461,0.226651458,293382,203396,69.3280433,11
Maharashtra,12,Bhusawal ,Sanjay Waman Sawkare,MALE,50,SC,BJP,81689,54.2229214,307797,150654,48.94589616,1
Maharashtra,12,Bhusawal ,Dr. Madhu Rajesh Manawatkar,FEMALE,44,SC,IND,28675,19.03367982,307797,150654,48.94589616,2
Maharashtra,12,Bhusawal ,Jagan Deoram Sonawane,MALE,48,SC,NCP,20245,13.43807665,307797,150654,48.94589616,3
Maharashtra,12,Bhusawal ,Sunil Dada Surwade,MALE,37,SC,VBA,6868,4.558790341,307797,150654,48.94589616,4
Maharashtra,12,Bhusawal ,NOTA,NOTA,0,NOTA,NOTA,3277,2.175182869,307797,150654,48.94589616,5
Maharashtra,12,Bhusawal ,Gita Prashant Khachane,FEMALE,27,SC,IND,2157,1.431757537,307797,150654,48.94589616,6
Maharashtra,12,Bhusawal ,Nilesh Amrut Suralkar,MALE,32,SC,MNS,2095,1.390603635,307797,150654,48.94589616,7
Maharashtra,12,Bhusawal ,Satish Bhika Ghule,MALE,47,SC,IND,1572,1.043450556,307797,150654,48.94589616,8
Maharashtra,12,Bhusawal ,Rakesh Sahebrao Wakade,MALE,34,SC,BSP,970,0.64385944,307797,150654,48.94589616,9
Maharashtra,12,Bhusawal ,Yamuna Dagadu Rote,FEMALE,65,SC,IND,917,0.608679491,307797,150654,48.94589616,10
Maharashtra,12,Bhusawal ,Kailash Gopal Ghule,MALE,40,SC,IUML,882,0.585447449,307797,150654,48.94589616,11
Maharashtra,12,Bhusawal ,Ajay Jivram Ingle,MALE,25,SC,BMUP,806,0.53500073,307797,150654,48.94589616,12
Maharashtra,12,Bhusawal ,Nilesh Raju Devghatole,MALE,30,SC,IND,501,0.332550082,307797,150654,48.94589616,13
Maharashtra,13,Jalgaon City,Suresh Damu Bhole (Rajumama),MALE,54,GENERAL,BJP,113310,62.21482811,401328,182127,45.3810848,1
Maharashtra,13,Jalgaon City,Abhishek shantaram patil,MALE,33,GENERAL,NCP,48464,26.61000291,401328,182127,45.3810848,2
Maharashtra,13,Jalgaon City,Shafi A. Nabi Shaikh,MALE,65,GENERAL,VBA,6330,3.475596699,401328,182127,45.3810848,3
Maharashtra,13,Jalgaon City,NOTA,NOTA,0,NOTA,NOTA,4998,2.74423891,401328,182127,45.3810848,4
Maharashtra,13,Jalgaon City,Adv. Jamil Abdul Rauf Deshpande,MALE,51,GENERAL,MNS,3481,1.911303651,401328,182127,45.3810848,5
Maharashtra,13,Jalgaon City,Ashok Shridhar Shimpi,MALE,50,GENERAL,BSP,1214,0.666567835,401328,182127,45.3810848,6
Maharashtra,13,Jalgaon City,Shivram Magar Patil,MALE,61,GENERAL,IND,1169,0.641859801,401328,182127,45.3810848,7
Maharashtra,13,Jalgaon City,Vandana Prabhakar Patil,FEMALE,53,GENERAL,MAHKRS,909,0.499102275,401328,182127,45.3810848,8
Maharashtra,13,Jalgaon City,Lalit (BANTY) Gaurishankar Sharma,MALE,35,GENERAL,IND,501,0.275082772,401328,182127,45.3810848,9
Maharashtra,13,Jalgaon City,ANIL PITAMBAR WAGH (SIR),MALE,49,SC,IND,420,0.230608312,401328,182127,45.3810848,10
Maharashtra,13,Jalgaon City,Prof. Dr. ASHISH S. JADHAV (HAPPY MIRROR),MALE,36,GENERAL,IND,390,0.21413629,401328,182127,45.3810848,11
Maharashtra,13,Jalgaon City,Maya Budha Ahire,FEMALE,37,SC,IND,374,0.205351211,401328,182127,45.3810848,12
Maharashtra,13,Jalgaon City,Gokul Ramesh Chavan,MALE,30,SC,IND,364,0.199860537,401328,182127,45.3810848,13
Maharashtra,13,Jalgaon City,Surwade Gaurav Damodar,MALE,35,SC,BMUP,203,0.111460684,401328,182127,45.3810848,14
Maharashtra,14,Jalgaon Rural,GULABRAO RAGHUNATH PATIL,MALE,53,GENERAL,SHS,105795,53.33403911,315672,198363,62.83832586,1
Maharashtra,14,Jalgaon Rural,ATTARADE CHANDRASHEKHAR PRAKASH,MALE,42,GENERAL,IND,59066,29.77672247,315672,198363,62.83832586,2
Maharashtra,14,Jalgaon Rural,PUSHPA DNYANESHWAR MAHAJAN,FEMALE,45,GENERAL,NCP,17962,9.055116125,315672,198363,62.83832586,3
Maharashtra,14,Jalgaon Rural,DESHMUKH JITENDRA BABURAO (RAVI BHAU),MALE,47,GENERAL,IND,5830,2.939056175,315672,198363,62.83832586,4
Maharashtra,14,Jalgaon Rural,MUKUNDA ANANDA ROTE,MALE,40,GENERAL,MNS,2635,1.328372731,315672,198363,62.83832586,5
Maharashtra,14,Jalgaon Rural,NOTA,NOTA,0,NOTA,NOTA,2382,1.200828784,315672,198363,62.83832586,6
Maharashtra,14,Jalgaon Rural,PRADIP BHIMRAO MOTIRAYA,MALE,30,SC,IND,1362,0.686619985,315672,198363,62.83832586,7
Maharashtra,14,Jalgaon Rural,SAMBHAJI KADU KOLI,MALE,35,GENERAL,IND,1129,0.569158563,315672,198363,62.83832586,8
Maharashtra,14,Jalgaon Rural,SANJAY PANNALAL BAVISKAR (KOLI),MALE,41,GENERAL,BSP,905,0.456234278,315672,198363,62.83832586,9
Maharashtra,14,Jalgaon Rural,DILIP RAJARAM PATIL (KADGAONKAR),MALE,62,GENERAL,PWPI,629,0.317095426,315672,198363,62.83832586,10
Maharashtra,14,Jalgaon Rural,LAXMAN GANGARAM PATIL (LUCKY TAILOR),MALE,56,GENERAL,IND,357,0.17997308,315672,198363,62.83832586,11
Maharashtra,14,Jalgaon Rural,SONAWANE ISHWAR UTTAM,MALE,41,ST,IND,311,0.156783271,315672,198363,62.83832586,12
Maharashtra,15,Amalner,Anil Bhaidas Patil,MALE,51,GENERAL,NCP,93757,50.70522319,293648,184906,62.96858824,1
Maharashtra,15,Amalner,Shirish Dada Hiralal Chaudhari,MALE,49,GENERAL,BJP,85163,46.05745622,293648,184906,62.96858824,2
Maharashtra,15,Amalner,Shravan Dharma Vanjari,MALE,44,GENERAL,VBA,1909,1.032416471,293648,184906,62.96858824,3
Maharashtra,15,Amalner,NOTA,NOTA,0,NOTA,NOTA,1503,0.812845446,293648,184906,62.96858824,4
Maharashtra,15,Amalner,Anil (Daji) Bhaidas Patil,MALE,38,GENERAL,IND,1061,0.573805069,293648,184906,62.96858824,5
Maharashtra,15,Amalner,Ankalesh Machindra Patil,MALE,43,GENERAL,MNS,528,0.285550496,293648,184906,62.96858824,6
Maharashtra,15,Amalner,Ramkrishna Vijay Bansode (Bhaiyasaheb),MALE,35,SC,BSP,498,0.269326036,293648,184906,62.96858824,7
Maharashtra,15,Amalner,Sandip Yuvraj Patil,MALE,30,GENERAL,IND,487,0.263377067,293648,184906,62.96858824,8
Maharashtra,16,Erandol,CHIMANRAO RUPCHAND PATIL,MALE,69,GENERAL,SHS,82650,46.33496847,280441,178375,63.60517899,1
Maharashtra,16,Erandol,ANNASAHEB DR. SATISH BHASKARRAO PATIL,MALE,61,GENERAL,NCP,64648,36.24274702,280441,178375,63.60517899,2
Maharashtra,16,Erandol,SHIROLE GOVIND EKNATH,MALE,57,GENERAL,IND,24587,13.78388227,280441,178375,63.60517899,3
Maharashtra,16,Erandol,GAUTAM MADHUKAR PAWAR,MALE,41,GENERAL,VBA,2303,1.29110021,280441,178375,63.60517899,4
Maharashtra,16,Erandol,NOTA,NOTA,0,NOTA,NOTA,1995,1.118430273,280441,178375,63.60517899,5
Maharashtra,16,Erandol,RAHUL RAGHUNATH PATIL,MALE,30,GENERAL,IND,793,0.444569026,280441,178375,63.60517899,6
Maharashtra,16,Erandol,SANJAY LAXMAN LOKHANDE,MALE,48,GENERAL,BSP,635,0.355991591,280441,178375,63.60517899,7
Maharashtra,16,Erandol,PROF. PRATAPRAO RAMDAS PAWAR,MALE,68,GENERAL,IND,506,0.283672039,280441,178375,63.60517899,8
Maharashtra,16,Erandol,ABASAHEB CHIMANRAO PATIL,MALE,40,GENERAL,IND,258,0.144639103,280441,178375,63.60517899,9
Maharashtra,17,Chalisgaon,Mangesh Ramesh Chavan,MALE,36,GENERAL,BJP,86515,39.69433777,345660,217953,63.05415726,1
Maharashtra,17,Chalisgaon,Deshmukh Rajiv Anil,MALE,48,GENERAL,NCP,82228,37.72739994,345660,217953,63.05415726,2
Maharashtra,17,Chalisgaon,Morsing Gopa Rathod,MALE,45,GENERAL,VBA,38429,17.631783,345660,217953,63.05415726,3
Maharashtra,17,Chalisgaon,Dr.Vinod Murlidhar Kotkar,MALE,42,GENERAL,IND,4617,2.118346616,345660,217953,63.05415726,4
Maharashtra,17,Chalisgaon,NOTA,NOTA,0,NOTA,NOTA,1677,0.769431942,345660,217953,63.05415726,5
Maharashtra,17,Chalisgaon,Rakesh Lalchand Jadhav,MALE,62,GENERAL,MNS,1399,0.641881507,345660,217953,63.05415726,6
Maharashtra,17,Chalisgaon,Onkar Pitambar Kedar,MALE,38,SC,BSP,1301,0.596917684,345660,217953,63.05415726,7
Maharashtra,17,Chalisgaon,Vinod Madhav Sonawane,MALE,61,SC,IND,1005,0.461108588,345660,217953,63.05415726,8
Maharashtra,17,Chalisgaon,Umesh Prakash Karpe,MALE,37,GENERAL,IND,782,0.358792951,345660,217953,63.05415726,9
Maharashtra,18,Pachora,Kishor Appa Patil,MALE,49,GENERAL,SHS,75699,37.58322287,315444,201417,63.85190398,1
Maharashtra,18,Pachora,Amol Panditrao Shinde,MALE,41,GENERAL,IND,73615,36.5485535,315444,201417,63.85190398,2
Maharashtra,18,Pachora,Dilip Onkar Wagh,MALE,54,GENERAL,NCP,44961,22.32234618,315444,201417,63.85190398,3
Maharashtra,18,Pachora,Naresh Pandit Patil,MALE,44,GENERAL,VBA,3214,1.595694504,315444,201417,63.85190398,4
Maharashtra,18,Pachora,NOTA,NOTA,0,NOTA,NOTA,1724,0.855935696,315444,201417,63.85190398,5
Maharashtra,18,Pachora,Rajendra Suresh Chaudhari (Rana),MALE,34,GENERAL,IND,947,0.470168854,315444,201417,63.85190398,6
Maharashtra,18,Pachora,Santosh Fakira More,MALE,35,SC,BSP,669,0.33214674,315444,201417,63.85190398,7
Maharashtra,18,Pachora,Mango Pundalik Pagare,MALE,53,SC,BAHUMP,588,0.291931664,315444,201417,63.85190398,8
Maharashtra,19,Jamner	,Girish Dattatraya Mahajan,MALE,59,GENERAL,BJP,114714,54.94886595,308952,208765,67.57198529,1
Maharashtra,19,Jamner	,Sanjay Bhaskarrao Garud,MALE,59,GENERAL,NCP,79700,38.17689747,308952,208765,67.57198529,2
Maharashtra,19,Jamner	,Bhimrao Namdeo Chavan,MALE,41,GENERAL,VBA,6471,3.09965751,308952,208765,67.57198529,3
Maharashtra,19,Jamner	,Vijay Jagan Tanvar,MALE,41,GENERAL,RaJPa,2118,1.014537878,308952,208765,67.57198529,4
Maharashtra,19,Jamner	,NOTA,NOTA,0,NOTA,NOTA,2105,1.00831078,308952,208765,67.57198529,5
Maharashtra,19,Jamner	,‍Dr. Vijayanand Arun Kulkarni,MALE,52,GENERAL,MNS,1439,0.689291787,308952,208765,67.57198529,6
Maharashtra,19,Jamner	,Shaktivardhan Shantaram Surwade,MALE,35,SC,BSP,673,0.322372045,308952,208765,67.57198529,7
Maharashtra,19,Jamner	,Gajanan Ramkrushna Mali,MALE,33,GENERAL,IND,659,0.31566594,308952,208765,67.57198529,8
Maharashtra,19,Jamner	,Pavan Pandurang Bande,MALE,28,GENERAL,IND,514,0.246209853,308952,208765,67.57198529,9
Maharashtra,19,Jamner	,Vasant Ramu Ingale,MALE,26,GENERAL,IND,372,0.178190789,308952,208765,67.57198529,10
Maharashtra,20,Muktainagar ,Chandrakant Nimba Patil,MALE,46,GENERAL,IND,91092,46.4234023,290175,196220,67.62126303,1
Maharashtra,20,Muktainagar ,Khadse Rohini Eknathrao,FEMALE,36,GENERAL,BJP,89135,45.42605239,290175,196220,67.62126303,2
Maharashtra,20,Muktainagar ,Rahul Ashok Patil,MALE,31,GENERAL,VBA,9751,4.969422077,290175,196220,67.62126303,3
Maharashtra,20,Muktainagar ,NOTA,NOTA,0,NOTA,NOTA,1806,0.920395474,290175,196220,67.62126303,4
Maharashtra,20,Muktainagar ,Bhagawan Damu Ingale,MALE,59,SC,BSP,1585,0.807766792,290175,196220,67.62126303,5
Maharashtra,20,Muktainagar ,Sanju Kadu Ingale,MALE,38,SC,BMUP,1403,0.71501376,290175,196220,67.62126303,6
Maharashtra,20,Muktainagar ,Jyoti Mahendra Patil,FEMALE,26,GENERAL,IND,888,0.452553257,290175,196220,67.62126303,7
Maharashtra,20,Muktainagar ,Sanjay Pralhad Kandelkar,MALE,45,GENERAL,IND,560,0.285393946,290175,196220,67.62126303,8
Maharashtra,21,Malkapur,Ekade Rajesh Panditrao,MALE,54,GENERAL,INC,86276,46.32218714,268718,186252,69.31132265,1
Maharashtra,21,Malkapur,Chainsukh Madanlal Sancheti,MALE,65,GENERAL,BJP,71892,38.59931705,268718,186252,69.31132265,2
Maharashtra,21,Malkapur,Dr. Nandurkar Nitin Vasantrao,MALE,53,GENERAL,VBA,12549,6.73764577,268718,186252,69.31132265,3
Maharashtra,21,Malkapur,Gawhad Vijay Pralhad,MALE,35,GENERAL,IND,9876,5.302493396,268718,186252,69.31132265,4
Maharashtra,21,Malkapur,NOTA,NOTA,0,NOTA,NOTA,1854,0.995425552,268718,186252,69.31132265,5
Maharashtra,21,Malkapur,Pramod Yadav Tayade,MALE,35,SC,BSP,1021,0.548182033,268718,186252,69.31132265,6
Maharashtra,21,Malkapur,Ab. Majid Qureshi Ab. Kadir,MALE,65,GENERAL,IND,633,0.339862122,268718,186252,69.31132265,7
Maharashtra,21,Malkapur,Baliram Krushna Dhade,MALE,28,GENERAL,IND,600,0.322144192,268718,186252,69.31132265,8
Maharashtra,21,Malkapur,Shaikh Aabid Shaikh Bashir,MALE,37,GENERAL,IND,541,0.29046668,268718,186252,69.31132265,9
Maharashtra,21,Malkapur,Avkash Kailas Borse,MALE,26,GENERAL,IND,464,0.249124842,268718,186252,69.31132265,10
Maharashtra,21,Malkapur,Pravin Ramesh Gawande,MALE,37,GENERAL,IND,310,0.166441166,268718,186252,69.31132265,11
Maharashtra,21,Malkapur,Datta Gajanan Yenkar,MALE,25,GENERAL,IND,236,0.126710049,268718,186252,69.31132265,12
Maharashtra,22,Buldhana,SANJAY RAMBHAU GAIKWAD,MALE,53,GENERAL,SHS,67785,37.82687307,306272,179198,58.50942953,1
Maharashtra,22,Buldhana,VIJAY HARIBHAU SHINDE,MALE,54,GENERAL,VBA,41710,23.27592942,306272,179198,58.50942953,2
Maharashtra,22,Buldhana,HARSHWARDHAN SAPKAL,MALE,51,GENERAL,INC,31316,17.47564147,306272,179198,58.50942953,3
Maharashtra,22,Buldhana,YOGENDRA RAJENDRA GODE,MALE,51,GENERAL,IND,29943,16.70944988,306272,179198,58.50942953,4
